member_casual,start_station,rides
member,State St & Chicago Ave,18061
member,Larrabee St & Kingsbury St,16088
member,University Ave & 57th St,15877
member,Broadway & Barry Ave,15783
member,Canal St & Adams St,15628
member,Morgan St & Polk St,15232
member,Wilton Ave & Belmont Ave,14976
member,Wells St & Huron St,14633
member,Wells St & Hubbard St,14589
member,Desplaines St & Kinzie St,14180
member,Wabash Ave & Grand Ave,14131
member,DuSable Lake Shore Dr & North Blvd,13830
member,Ellis Ave & 60th St,13284
member,Loomis St & Lexington St,13104
member,Kingsbury St & Erie St,13103
member,Green St & Madison St,12688
member,Daley Center Plaza,12464
member,Clinton St & Lake St,12450
member,Dearborn Pkwy & Delaware Pl,12098
member,Indiana Ave & Roosevelt Rd,11552
member,Broadway & Waveland Ave,11492
member,Michigan Ave & Oak St,11328
member,Halsted St & Fulton St,11073
member,Streeter Dr & Grand Ave,10981
member,Clark St & Armitage Ave,10730
member,LaSalle St & Illinois St,10702
member,State St & 33rd St,10694
member,Ashland Ave & Division St,10366
member,Clark St & Lincoln Ave,10297
member,Ellis Ave & 55th St,10222
member,Wabash Ave & Roosevelt Rd,9953
member,Ravenswood Ave & Lawrence Ave,9306
member,Orleans St & Merchandise Mart Plaza,9106
member,Halsted St & Clybourn Ave,9045
member,Michigan Ave & Washington St,9012
member,McClurg Ct & Ohio St,8995
member,Theater on the Lake,8677
member,Sheffield Ave & Fullerton Ave,8664
member,Broadway & Cornelia Ave,8583
member,Clark St & Wrightwood Ave,8578
member,Dearborn St & Monroe St,8143
member,Lincoln Ave & Fullerton Ave,8133
member,Columbus Dr & Randolph St,7813
member,Michigan Ave & Lake St,7764
member,Halsted St & Polk St,7599
member,DuSable Lake Shore Dr & Diversey Pkwy,7579
member,Peoria St & Jackson Blvd,7096
member,Clark St & Lake St,6887
member,Calumet Ave & 33rd St,6730
member,MLK Jr Dr & 29th St,6697
member,LaSalle St & Jackson Blvd,6151
member,Kimbark Ave & 53rd St,5652
member,Pine Grove Ave & Waveland Ave,5438
member,DuSable Lake Shore Dr & Monroe St,5005
member,New St & Illinois St,4860
member,Clark St & Schiller St,4739
member,Damen Ave & Pierce Ave,4581
member,St. Clair St & Erie St,4416
member,Aberdeen St & Jackson Blvd,4410
member,Clark St & Drummond Pl,4326
member,Franklin St & Lake St,4036
member,DuSable Lake Shore Dr & Belmont Ave,3920
member,Franklin St & Jackson Blvd,3680
member,McClurg Ct & Erie St,3423
member,Canal St & Monroe St,3398
member,Larrabee St & Webster Ave,3247
member,Sedgwick St & Huron St,3004
member,DuSable Lake Shore Dr & Wellington Ave,2757
member,Clarendon Ave & Gordon Ter,2636
member,Franklin St & Monroe St,2629
member,Rush St & Cedar St,2621
member,Federal St & Polk St,2533
member,Halsted St & Roscoe St,2429
member,Montrose Harbor,2126
member,Wells St & Evergreen Ave,2077
member,Fairbanks Ct & Grand Ave,2027
member,Southport Ave & Roscoe St,1827
member,Southport Ave & Waveland Ave,1814
member,Stockton Dr & Wrightwood Ave,1784
member,Sheffield Ave & Wellington Ave,1753
member,Broadway & Sheridan Rd,1584
member,Lakeview Ave & Fullerton Pkwy,1478
member,Pine Grove Ave & Irving Park Rd,1476
member,Racine Ave & Fullerton Ave,1412
member,Millennium Park,1388
member,Sheridan Rd & Irving Park Rd,1321
member,Blackstone Ave & 59th St,1295
member,Ellis Ave & 58th St,1209
member,Sheffield Ave & Waveland Ave,1144
member,900 W Harrison St,1123
member,Sheffield Ave & Webster Ave,1108
member,Canal St & Jackson Blvd,1027
member,Clark St & Newport St,1018
member,Halsted St & Wrightwood Ave,1009
member,Sedgwick St & Webster Ave,979
member,Franklin St & Illinois St,960
member,Halsted St & Dickens Ave,943
member,Milwaukee Ave & Grand Ave,942
member,State St & Kinzie St,914
member,Clark St & Winnemac Ave,867
member,Rush St & Superior St,845
member,Woodlawn Ave & 58th St,794
member,Bissell St & Armitage Ave*,770
member,Broadway & Belmont Ave,769
member,Desplaines St & Jackson Blvd,751
member,Woodlawn Ave & 55th St,748
member,Sedgwick St & North Ave,696
member,Ogden Ave & Chicago Ave,695
member,Field Blvd & South Water St,683
member,Southport Ave & Wellington Ave,646
member,Southport Ave & Belmont Ave,608
member,Ritchie Ct & Banks St,453
member,May St & Taylor St,450
